"Часы сна","Трудоустройство","Вес","Рост","Расстояние до МИРЭА в часах","К/Ч"
"5","0","90","175","2","ч"
"5","1","82","172","0.8","ч"
"7","1","75","177","1","к"
"10","0","69","179","0.25","ч"
"5","1","100","180","2","ч"
"8","0","67","170","2","ч"
"6","1","65","179","1.5","к"
"8","0","88","187","0.17","ч"
"6","0","103","184","1","ч"
"8","1","85","195","0.66666666666667","к"
"7","0","62","170","1","ч"
"7","0","70","175","1","к"
"7","0","55","168","1","к"
"7","1","65","178","1","ч"
"8","0","82","190","1.5","к"
"6","1","51","150","1.5","к"
"3","1","82","176","1.5","ч"
"5","0","70","177","1","к"
"9","0","67","172","1.5","к"
